geographic_area,city,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
FL,Brownsville CDP,19968,44.1,70.6,19.8,74.7,0.3,0,25.7
FL,Buckhead Ridge CDP,28444,19.7,77.8,97.8,0.6,0.7,0.1,2.1
FL,Buckingham CDP,58826,8,90.4,91.5,3.5,0.1,0.5,10.1
FL,Buenaventura Lakes CDP,39148,18.7,78.8,61.2,14.2,0.6,2.6,69.6
FL,Bunnell city,31316,29.1,85,63.1,31.9,0.6,0.3,5.4
FL,Burnt Store Marina CDP,80625,5.3,97,98.8,0.1,0.1,0.5,1.6
FL,Bushnell city,30067,27.9,79,81.4,12.7,0.9,0.5,8.1
FL,Butler Beach CDP,54740,6.4,95,97.4,0.6,0.2,0.8,2.2
FL,Cabana Colony CDP,57604,11.2,94.2,78.9,9.7,0.6,4.2,13.1
FL,Callahan town,25641,27.6,81.2,89.3,7,0.3,0.9,2.4
FL,Callaway city,48750,18.5,89.8,71.1,18.2,0.7,4.1,5.9
FL,Campbell CDP,31939,16.3,88.4,90.3,2.3,0.2,1.4,15.5
FL,Campbellton town,34750,8.9,75.7,33.9,64.8,0,0.4,0.4
FL,Canal Point CDP,36553,19.9,80.5,71.1,20.2,0.3,0,29.7
FL,Cape Canaveral city,44802,13.4,93.4,92.9,2.4,0.3,1.8,5.7
FL,Cape Coral city,50536,14.2,90.4,88.2,4.3,0.3,1.5,19.5
FL,Captiva CDP,61406,63.8,91.3,78,20.1,0,1,3.6
FL,Carrabelle city,31837,29.2,70.3,69.5,27.6,0.3,0.4,8.7
FL,Carrollwood CDP,62266,9.6,93.9,80.8,7.8,0.2,3.8,27.4
FL,Caryville town,27500,41,55,62,32.6,0.2,0.5,2.9
FL,Casselberry city,40510,16,91.8,80.1,8,0.4,2.9,22.6
FL,Cedar Grove CDP,43162,19.2,80.1,69.3,21.8,0.8,1.8,6
FL,Cedar Key city,41316,12.6,94.8,97.2,1.3,0.3,0,1.4
FL,Celebration CDP,81699,7.4,99.7,91,1.5,0.2,3.2,11.2
FL,Center Hill city,29821,40.8,61.2,66.4,8.9,1,0.5,36.9
FL,Century town,24583,23.8,76.6,39.7,56.1,0.4,0.5,1.1
FL,Charleston Park CDP,16042,33.6,63.1,20.6,74.8,0,0.5,9.6
FL,Charlotte Harbor CDP,44613,12.1,88.9,89.3,6,0.2,1.7,5.6
FL,Charlotte Park CDP,37458,6.7,90.2,96,1.2,0.6,0.7,4.6
FL,Chattahoochee city,33934,53.3,67.6,44.6,51.5,0.2,1,3.7
FL,Cheval CDP,63944,10,96.8,80.3,7.6,0.3,6.1,18.8
FL,Chiefland city,21404,42.3,73.9,61.5,30.7,0.3,1.7,6.6
FL,Chipley city,30907,31.2,78.2,68.2,26.9,0.8,1.1,2.9
FL,Chokoloskee CDP,(X),72.5,100,96.1,0,0,0,5.6
FL,Christmas CDP,35341,23.2,82.2,95.7,1,0.3,0.3,5.8
FL,Chuluota CDP,55564,10.3,95.2,91.3,1.9,0.4,2.2,10.6
FL,Chumuckla CDP,53214,5.5,78.5,95.1,0.5,2,0.6,0.7
FL,Cinco Bayou town,59375,20.4,90.7,78.6,9.7,0,5.5,6
FL,Citrus Hills CDP,58465,4,90.5,89.4,2.3,0.1,6.5,5.3
FL,Citrus Park CDP,61911,9.6,92.1,78.4,8.7,0.4,4.7,33.6
FL,Citrus Springs CDP,48474,13.3,88.5,88.9,5.1,0.4,1.5,9.3
FL,Clarcona CDP,32353,16.5,88.6,77.8,14.6,0.8,1.3,10.7
FL,Clearwater city,44198,16,89.3,79.8,10.9,0.5,2.1,14.2
FL,Clermont city,51938,14.1,92.3,71.7,14.4,0.4,4.2,17.8
FL,Cleveland CDP,35142,23.9,85.4,95.6,1.1,0.7,0.8,2.8
FL,Clewiston city,40172,17.1,64.3,61.4,12.7,0.8,2.3,48.7
FL,Cloud Lake town,37125,2.6,78.2,94.1,5.9,0,0,23
FL,Cobbtown CDP,(X),13.2,100,100,0,0,0,0
FL,Cocoa city,30517,29.3,83.1,59.2,31.3,0.5,1.1,11.3
FL,Cocoa Beach city,53844,7.4,96.3,95.6,0.8,0.4,1.5,3.2
FL,Cocoa West CDP,21385,44,72.2,47.7,41.3,0.6,0.5,10.3
FL,Coconut Creek city,52800,8.8,93.3,75.3,13.7,0.1,3.8,20.4
FL,Coleman city,32026,12.7,75.9,57.2,38.7,0.9,0.6,4.7
FL,Combee Settlement CDP,25712,27.7,69.1,78.4,9.2,0.8,0.7,18.2
FL,Connerton CDP,140125,0,73.3,87.1,8.8,0,1.6,9.5
FL,Conway CDP,66795,11.5,93.7,88.6,3.7,0.3,2.2,16.5
FL,Cooper City city,90133,4.7,94.9,85.1,4.9,0.3,5.5,22.8
FL,Coral Gables city,93934,7.6,95.5,91,3,0.1,2.7,53.6
FL,Coral Springs city,66430,10.3,92.3,69.2,17.9,0.2,5.1,23.5
FL,Coral Terrace CDP,48754,15.7,78.1,94.9,1.6,0.1,0.6,88.6
FL,Cortez CDP,50477,8.5,93.7,97.6,0.7,0.1,0.6,2.2
FL,Cottondale town,33095,40.3,72.1,69.2,24.2,0.4,0.8,6.6
FL,Country Club CDP,44161,19.7,85.2,77.4,13.3,0.1,1.9,78.8
FL,Country Walk CDP,74083,11.9,93.7,82,10,0.1,2.7,70.2
FL,Crawfordville CDP,50272,15.6,92.9,83.5,11.8,0.7,1.4,3.6
FL,Crescent Beach CDP,57847,11.5,99.3,97.5,0.4,0.1,0.9,2.4
FL,Crescent City city,26202,37,71,58.4,30.8,0.5,0.4,17.7
FL,Crestview city,51407,19.1,92.6,71.4,18.6,0.5,3.1,6.6
FL,Crooked Lake Park CDP,34700,18.2,87.9,88.3,5.9,0.3,0.3,13.1
FL,Cross City town,30705,30.5,74.6,69.6,27.5,0.2,0.4,1.9
FL,Crystal Lake CDP,31919,35.3,79.1,64.9,22.4,0.3,1.2,18.3
FL,Crystal River city,36083,26.3,85,87.2,7.6,0.3,2.1,5.2
FL,Crystal Springs CDP,27250,25.1,66,90.8,0.9,0.5,1.2,8.6
FL,Cudjoe Key CDP,62917,10.9,93.2,97.8,0.5,0.4,0.5,6
FL,Cutler Bay town,61847,11.5,88,77.3,14.2,0.2,2.3,54.5
FL,Cypress Gardens CDP,54405,9.5,92.1,90.8,4.5,0.4,1.9,6.2
FL,Cypress Lake CDP,44088,11.6,91.6,93.9,2.2,0.2,0.8,8.2
FL,Cypress Quarters CDP,27317,37.4,81.7,33.3,58,1.2,1.6,12.1
FL,Dade City city,31497,32.2,78.8,67.3,20.4,0.4,0.4,20.6
FL,Dade City North CDP,27770,21.1,70.4,49.2,11.9,0.8,0.1,63
FL,Dania Beach city,41566,24.2,85.6,69.6,21.8,0.3,2.1,22.4
FL,Davenport city,36832,22.6,88.7,73,10.8,0.5,1,28.8
FL,Davie town,59680,12.6,90.6,80.1,8,0.3,4.6,29.1
FL,Day CDP,41250,25.6,68.8,99.1,0,0,0,0
FL,Daytona Beach city,27901,31.7,86.3,57.8,35.4,0.4,2.3,6.2
FL,Daytona Beach Shores city,41345,11.5,95.3,94.5,0.8,0.2,2.2,2.6
FL,DeBary city,49417,9.2,90.6,90.5,4,0.3,1.9,9.1
FL,Deerfield Beach city,40626,17.7,85.6,65.8,25.6,0.2,1.5,14.2
FL,DeFuniak Springs city,28675,19.9,82.3,NA,NA,NA,NA,NA
FL,DeLand city,39382,20.6,87.4,74.5,17.1,0.3,1.9,12.7
FL,DeLand Southwest CDP,20074,42.9,73.2,20.2,69.6,1,0.3,14.2
FL,De Leon Springs CDP,50465,23.3,63.6,69.9,5.8,0.3,1,44.3
FL,Delray Beach city,50136,17.8,85.5,65.7,28,0.2,1.8,9.5
FL,Deltona city,42077,16.4,88.2,76.7,10.9,0.5,1.3,30.2
FL,Desoto Lakes CDP,55206,12.8,95.7,84.4,7.1,0.2,1.6,16.5
FL,Destin city,66148,7.5,96.4,90.1,1.5,0.3,2.1,6.5
FL,Dickerson City CDP,21250,0,100,94.5,2.7,0,0,4.1
FL,Dixonville CDP,50208,4.9,87.9,99.4,0,0,0,0.6
FL,Doctor Phillips CDP,80304,7.1,94,75.1,4.1,0.2,13.9,12.9
FL,Doral city,72933,12.4,95.1,88.7,2.5,0.1,3.6,79.5
FL,Dover CDP,28047,46,45.6,68.3,2.2,0.5,0.2,67.9
FL,Duck Key CDP,65500,38.6,93.6,83.7,14.7,0.2,0.2,6.8
FL,Dundee town,40131,28.6,80.3,60.6,25.2,0.6,1.7,21.3
FL,Dunedin city,45618,8,91,91.6,3.3,0.3,1.6,5.9
FL,Dunnellon city,27250,29.8,88.8,88.1,9.2,0.1,0.7,5
FL,Eagle Lake city,45750,14.8,82.9,80.4,7.2,0.4,2.2,16.1
FL,East Bronson CDP,28864,32.9,72.4,86.6,5.6,0.3,0.3,13.8
FL,East Lake CDP,76634,6.2,95.8,92.3,1.6,0.1,3.5,5.9
FL,East Lake-Orient Park CDP,37570,23.8,82.5,45.2,43.8,0.5,2.8,17.2
FL,East Milton CDP,43060,34.7,72.3,76.1,19.5,0.9,0.5,4.1
FL,East Palatka CDP,35000,20.4,84.7,62.2,32.5,0.5,0.5,10.5
FL,Eastpoint CDP,38537,25.7,74.4,96.9,0.1,0.7,0,1.7
FL,East Williston CDP,60156,15.5,76,18.6,80.4,0,0,4.6
FL,Eatonville town,26215,43,75.2,12.2,84.5,0,0.7,9.1
FL,Ebro town,38750,30.1,86.1,84.1,1.1,5.6,0.4,2.6
FL,Edgewater city,44155,12.6,90.1,94.1,2.6,0.3,0.9,3.4
FL,Edgewood city,72321,5.9,95,79.5,10.6,0.2,4.4,13.4
FL,Eglin AFB CDP,34227,9.1,97.1,77.2,8.9,0.5,2.2,13.7
FL,Egypt Lake-Leto CDP,36373,22.9,80.3,75.3,10.8,0.3,3.7,60
FL,Elfers CDP,32548,22.9,85.3,89.3,3.1,0.4,2,11.2
FL,Ellenton CDP,45167,17.2,93.6,68.5,6.9,0.4,0.9,31
FL,El Portal village,52216,16,88.4,39.8,50.1,0.1,1.2,28.6
FL,Englewood CDP,42500,10.5,91.4,97.1,0.3,0.2,0.7,2.5
FL,Ensley CDP,41724,17,88.9,62.1,29.8,1.1,2.2,4.9
FL,Estero village,67993,6.5,95.3,NA,NA,NA,NA,NA
FL,Esto town,24167,32.5,79.3,96.2,1.1,0.5,0.5,2.7
FL,Eustis city,35265,25.3,86.3,74.9,17.4,0.4,1.2,11.9
FL,Everglades city,54375,9.1,96.4,92.3,0.8,2.3,0,11.3
FL,Fairview Shores CDP,38904,27.9,84.4,69.9,18.1,0.4,3.7,14
FL,Fanning Springs city,31106,26.6,77,95,0.8,1.4,0.7,7.7
FL,Feather Sound CDP,78035,6.2,96,88.3,2.8,0.3,5.9,5.7
FL,Fellsmere city,25132,42,48.6,55.2,5.4,0.8,0.1,81.1
FL,Fernandina Beach city,52448,12.4,93.3,83.4,11.7,0.4,1.1,5.3
FL,Ferndale CDP,29063,8.5,70.8,97,1.1,0,0.8,4.7
FL,Fern Park CDP,52177,12.1,91.9,83.2,8.2,0.5,1.8,16
FL,Ferry Pass CDP,40648,17.8,93.1,76.8,15.3,0.7,2.2,5.9
FL,Fidelis CDP,-,0,80,89.7,0,5.8,0,1.9
FL,Fisher Island CDP,-,18.1,49.4,92.4,2.3,0,4.5,15.2
FL,Fish Hawk CDP,106659,5.5,97.3,88.1,4.2,0.1,3.5,11.7
FL,Five Points CDP,36321,20.5,66.5,75.8,20.4,0.1,0,3.6
FL,Flagler Beach city,46768,5.5,95.6,97.1,0.8,0.3,0.6,2.4
FL,Flagler Estates CDP,44681,21,76.6,89,6.2,1,0.3,6.3
FL,Fleming Island CDP,87780,5.1,97.7,86.2,5.2,0.3,4.1,6.4
FL,Floral City CDP,32326,13.6,83.9,96.2,1.3,0.5,0.3,3.2
FL,Florida City city,25840,48.7,54.6,39.1,52.4,0.2,0.3,42.4
FL,Florida Ridge CDP,42686,14.6,88.2,77.8,15.6,0.3,1.2,10.6
FL,Floridatown CDP,85066,22.7,95.6,93.9,0,1.2,0,2
FL,Forest City CDP,56563,12.6,91.6,79.2,8,0.2,4.3,24.4
FL,Fort Denaud CDP,48308,5.8,77,89.5,1.2,0.5,0.5,13.2
FL,Fort Green CDP,(X),14.3,97.5,96,0,0,0,13.9
FL,Fort Green Springs CDP,(X),60.3,95.1,87.4,1.7,0.4,0.9,17.7
FL,Fort Lauderdale city,50778,20.7,85.9,62.6,31,0.3,1.5,13.7
FL,Fort Meade city,42973,19.7,79.6,68.3,18.2,0.5,0.3,26.1
FL,Fort Myers city,39039,24.2,80.3,54.6,32.3,0.6,1.6,20
FL,Fort Myers Beach town,55833,10.5,93.7,97.7,0.3,0.2,0.6,2.8
FL,Fort Myers Shores CDP,44448,11.8,77.4,84.4,4.7,0.3,1.3,28
FL,Fort Pierce city,25635,36.6,76.1,45.3,40.9,0.6,0.9,21.6
FL,Fort Pierce North CDP,23966,37.2,73.9,21.6,70.6,0.3,0.1,11.1
FL,Fort Pierce South CDP,30757,25,73.5,65.4,15.9,0.5,0.8,31.3
FL,Fort Walton Beach city,47149,17.5,89.2,77.7,12.3,0.7,3.2,7.9
FL,Fort White town,51210,15.8,87.5,63,30.3,0.7,0.5,7.4
FL,Fountainebleau CDP,42444,14,80.7,91.2,2.2,0.1,1.5,91.6
FL,Four Corners CDP,51966,12.8,87.3,76.1,8,0.5,2.5,30.1
FL,Franklin Park CDP,21574,42.3,84.5,0.5,97.9,0.1,0.1,1
FL,Freeport city,43523,13.3,84.7,87.6,2.9,1.8,1.7,9.1
FL,Frostproof city,40260,21.5,82,84.7,5.1,0.6,0.2,20.2
FL,Fruit Cove CDP,96353,5.2,95.9,90.8,3.4,0.2,2.7,5.8
FL,Fruitland Park city,39625,17.3,85,84.7,9.4,0.2,1.5,7.7
FL,Fruitville CDP,59133,6,94.1,91.8,2.5,0.2,1.9,8.7
FL,Fuller Heights CDP,54379,4.8,86,82,8.6,0.2,1.8,20.1
FL,Fussels Corner CDP,35698,16.3,76.8,87.5,4.2,0.6,0.4,10.1
FL,Gainesville city,31818,35.6,92.1,64.9,23,0.3,6.9,10
FL,Garcon Point CDP,91923,0,100,91.6,2.9,0.6,2,3.7
FL,Garden Grove CDP,29911,8,88.4,94.1,2.4,0.4,0.7,5.9
FL,Gardner CDP,35357,11.6,90.9,85.1,0.4,0,12.3,5
FL,Gateway CDP,82857,7.2,97.3,87.9,5,0.2,3.1,11.2
FL,Geneva CDP,85743,2.7,95.3,91.8,1.7,0.5,2.4,5.3
FL,Gibsonton CDP,43542,21.7,78.9,72.8,12.7,0.6,1.8,27.9
FL,Gifford CDP,30407,30.7,82.5,49.7,43.7,0.3,0.6,8.5
FL,Gladeview CDP,21882,48.2,71.8,17.4,75.2,0.1,0.2,24.2
FL,Glencoe CDP,51573,19.1,94.6,96.3,1,0.1,0.6,2.2
FL,Glen Ridge town,(X),21.1,90.5,95,1.4,0.9,0,28.3
FL,Glen St. Mary town,35208,15.3,82,94.5,2.5,0.5,0.7,1.8
FL,Glenvar Heights CDP,57247,11.6,91.8,88.8,3.2,0.1,2.8,66.5
FL,Golden Beach town,148750,11,92,97.8,1.7,0,0.3,26.2
FL,Golden Gate CDP,40819,27.6,67.4,66,16.2,0.7,0.7,58.5
FL,Golden Glades CDP,38090,23.6,74,19.4,72.8,0.3,1.6,18.5
FL,Goldenrod CDP,40945,21.9,90.8,77.6,9.2,0.4,3,22.2
FL,Golf village,121000,2.4,100,99.6,0.4,0,0,0.8
FL,Gonzalez CDP,66283,5.5,92.1,83.9,10.6,0.9,1.7,2.9
FL,Goodland CDP,(X),12.7,100,98.9,0,0.4,0.7,1.5
FL,Gotha CDP,81250,8.4,96.2,78.3,6.8,0.5,9.1,12.2
FL,Goulding CDP,23810,37.6,69.7,33,61.8,0.8,1.9,10.1
FL,Goulds CDP,29333,40.7,75.5,39.1,55.2,0.2,0.6,41
FL,Graceville city,29234,30.5,69.3,70.5,24.3,0.5,0.2,4.2
FL,Grand Ridge town,34732,13.6,84.9,90.8,5.2,1.5,0,1.2
FL,Grant-Valkaria town,59038,6.6,95.2,91.4,3.9,0.5,1.6,4.6
FL,Greenacres city,44206,18.1,80.5,67,17,0.7,3,38.3
FL,Greenbriar CDP,55319,3.2,92.7,92,3.5,0.3,2.4,7.5
FL,Green Cove Springs city,43114,15.7,83.4,74.8,19,0.4,1,7
FL,Greensboro town,46641,24.1,70.3,39.2,27.6,0,0,49.3
FL,Greenville town,22450,30,81.6,26.5,70.7,0.1,0.1,1.4
FL,Greenwood town,43836,16.6,89.3,66.6,30.9,0.4,0,2.6
FL,Grenelefe CDP,46550,6,95.8,85.8,9.2,0,1,9.8
FL,Gretna city,30978,19.6,76.2,4.6,83.8,0.6,0,13.3
FL,Grove City CDP,38583,25.9,94.8,97.8,0,0.2,0.3,1.9
FL,Groveland city,52917,10.5,87.4,65.6,17,1,2.5,25.9
FL,Gulf Breeze city,84423,5.3,97.1,95.7,0.3,0.6,1.4,2.6
FL,Gulf Gate Estates CDP,42764,11.2,92.7,93.2,1.6,0.3,1.1,7.9
FL,Gulfport city,40273,16.5,89.3,86.1,9.2,0.4,1.2,4.9
FL,Gulf Stream town,185833,3.4,97.8,98.5,0.3,0,0.6,4.3
FL,Gun Club Estates CDP,39844,14.4,76.7,80.2,8.6,0.3,1,62.6
FL,Haines City city,34598,26.9,74.2,53.4,27.5,0.5,1.4,38.9
FL,Hallandale Beach city,34216,22.1,85.8,73.7,18.7,0.2,1.4,31.8
FL,Hampton city,27917,23.4,63.6,87,9.4,0,0,1.8
FL,Harbor Bluffs CDP,85234,6.4,97.9,96.4,0.5,0.1,1.6,3
FL,Harbour Heights CDP,43114,10.6,91.9,90.1,5.8,0.2,1.1,5.2
FL,Harlem CDP,19778,37.8,75.6,2.1,95.8,0.2,0,3
FL,Harlem Heights CDP,46555,30.6,70.9,40.1,22.6,0.3,0.1,70.2
FL,Harold CDP,59158,15.9,94.9,95,0.6,1,0.9,1.2
FL,Hastings town,26652,26.3,81.8,48.1,48.3,0.5,0.3,4.5
FL,Havana town,36196,19.3,82.7,44.6,53.6,0.1,0.5,1.4
FL,Haverhill town,51250,23.4,85.7,64.1,23.5,0.5,1.8,29.2
FL,Hawthorne city,28950,38.8,84.6,52.4,45.2,0.1,0.3,2
FL,Heathrow CDP,84188,5.5,95.1,83,4.1,0.2,9.4,9.8
FL,Heritage Pines CDP,57212,2,95.2,98.4,0.8,0,0.4,2
FL,Hernando CDP,30403,24.5,89.8,94.8,2.2,0.4,0.5,3.5
FL,Hernando Beach CDP,47857,21.5,91.2,97,0.7,0.4,0.4,4.3
FL,Hialeah city,29249,27.1,70.7,92.6,2.7,0.1,0.4,94.7
FL,Hialeah Gardens city,41592,18.1,75.9,92.9,2.2,0.1,0.7,94.9
FL,Highland Beach town,96875,8.1,96.5,97.7,0.3,0,0.7,3.6
FL,Highland City CDP,64243,9.7,92.3,81,9.5,0.4,4.2,12.7
FL,Highland Park village,32000,7.6,100,91.3,3,0,0,8.3
FL,High Point CDP,29890,16.2,83.4,96.7,0.6,0.3,0.5,4.1
FL,High Springs city,52221,9.2,93.9,82.2,13.8,0.5,0.7,6.6
FL,Hillcrest Heights town,69375,9.3,94.3,96.1,2.8,0.4,0,5.9
FL,Hilliard town,48825,20.7,80.9,89,8.7,0.5,0.4,1.4
FL,Hill 'n Dale CDP,20294,63.8,75.1,69.2,23.6,0.3,0.6,10.9
FL,Hillsboro Beach town,70139,3.1,97.8,97.1,0.4,0.1,0.5,5.8
FL,Hillsboro Pines CDP,80300,0,100,93.9,5.2,0,0.4,10.3
FL,Hobe Sound CDP,42750,13.8,89,89.3,7,0.3,0.8,5.2
FL,Holden Heights CDP,35495,25.4,89.9,62.2,27.2,0.4,3.2,19.1
FL,Holiday CDP,32129,21.1,83.7,89.5,4.1,0.5,1.4,10
FL,Holley CDP,54286,21.6,88.1,91.8,2.3,0.9,1.2,3.3
FL,Holly Hill city,27259,25.6,80.6,78.5,15.2,0.5,0.9,6.8
FL,Hollywood city,46791,15.9,86.9,72.7,16.7,0.4,2.4,32.6
FL,Holmes Beach city,54543,16.2,98.6,97.6,0.1,0.4,0.7,2.7
FL,Homeland CDP,43068,35.4,79.5,97.3,1.4,0.8,0,11.2
FL,Homestead city,40959,28.8,69.1,66.9,20.4,0.4,1.2,62.9
FL,Homestead Base CDP,11533,98.6,70.9,40.6,55.4,0.3,0.2,33.7
FL,Homosassa CDP,53109,12.6,88.5,97.6,0.4,0.4,0.3,1.4
FL,Homosassa Springs CDP,29409,26.3,80.4,95.6,0.9,0.4,0.7,3.6
FL,Horizon West CDP,87267,7.1,97.4,78,6.4,0.3,8.2,19.8
FL,Horseshoe Beach town,33333,8.9,81,100,0,0,0,1.2
FL,Hosford CDP,60395,6.1,79.6,95.5,1.7,0.3,0.6,2
FL,Howey-in-the-Hills town,63021,1.9,94.4,96.3,1.3,0,0.5,5.6
FL,Hudson CDP,37028,16.9,85.3,95.3,0.7,0.4,1.2,5
FL,Hunters Creek CDP,60648,9.1,95.4,72.9,7.6,0.3,6.8,35.6
FL,Hutchinson Island South CDP,51658,7,95.1,98.7,0.2,0.1,0.6,2.2
FL,Hypoluxo town,61522,5.3,94.2,87.9,7,0,1.7,6.8
FL,Immokalee CDP,26684,43.9,41.3,43.2,18.9,1,0.2,75.6
FL,Indialantic town,65305,12.9,97.3,94.7,0.5,0.2,1.7,5.3
FL,Indian Creek village,"250,000+",3.3,95.5,98.8,0,0,1.2,27.9
FL,Indian Harbour Beach city,53287,12.5,93.5,94.7,0.9,0.2,1.7,4.8
FL,Indian River Estates CDP,40521,12.6,87.9,92.9,3.1,0.5,0.7,6.3
FL,Indian River Shores town,123938,4.2,97.4,98.4,0.3,0,0.7,1.3
FL,Indian Rocks Beach city,61346,6.3,94.7,96.2,1,0.2,0.7,5.1
FL,Indian Shores town,54115,10.2,98.4,96.5,0.4,0,1.2,6
FL,Indiantown CDP,36098,25.3,55.9,48.9,14.6,3.4,0.2,64.6
FL,Inglis town,26193,35.3,84.4,95.4,0.5,0.6,1.3,4.7
FL,Interlachen town,28478,39.6,80.2,79.3,7.3,0.7,0.3,24.9
FL,Inverness city,27396,25,81.2,88.2,5.9,0.4,1.7,6.5
FL,Inverness Highlands North CDP,55260,13.2,91.2,91,4.7,0.4,1.2,5.8
FL,Inverness Highlands South CDP,37107,17.2,85.9,93.5,1.8,0.4,1.3,5.9
FL,Inwood CDP,27478,35,68.1,59.9,29.3,0.7,0.6,15.2
FL,Iona CDP,52134,8.4,93.6,94.9,1.1,0.2,1,5.6
FL,"Islamorada, Village of Islands village",58686,8.8,95.6,96.5,0.7,0.4,0.6,9.6
FL,Island Walk CDP,71288,1.6,97.9,96.4,0.9,0.3,1.2,4.5
FL,Istachatta CDP,(X),3.3,39.7,92.2,3.4,0.9,0.9,5.2
FL,Ives Estates CDP,46985,16.5,88,40.3,50,0.3,3,27.7
FL,Jacksonville city,46764,17.7,88.2,59.4,30.7,0.4,4.3,7.7
FL,Jacksonville Beach city,62229,8.7,96.2,90.9,3.9,0.2,1.7,4.3
FL,Jacob City city,27813,28.6,79.3,6.8,90.4,0.4,0,0
FL,Jan Phyl Village CDP,40614,20.1,84.1,72.1,18.5,0.4,1.2,16.2
FL,Jasmine Estates CDP,32616,24.5,82.6,88.3,3.5,0.5,1.2,14.2
FL,Jasper city,32600,35.7,66.1,46.1,50.8,0.3,0.5,8.5
FL,Jay town,37917,17.4,84.2,95.1,0.8,1.7,0.9,2.1
FL,Jennings town,27614,45.5,50.4,40.5,32.2,1.6,0.2,44.8
FL,Jensen Beach CDP,43696,14.6,92,94.5,2.5,0.2,0.7,4.8
FL,June Park CDP,56377,8.6,90.4,92.8,1.2,0.6,1.4,5.2
FL,Juno Beach town,54482,5.4,96.6,96.4,0.8,0.1,1.6,3.8
FL,Juno Ridge CDP,31339,15.2,88.5,84.8,4.3,0.3,2.1,19.9
FL,Jupiter town,71233,9.2,92.3,90.6,1.5,0.5,2,12.7
FL,Jupiter Farms CDP,86435,5.7,94.4,94.8,1.2,0.2,1,8.6
FL,Jupiter Inlet Colony town,133750,4.4,96.6,95.5,0,0,0.8,1.3
FL,Jupiter Island town,"250,000+",9.9,98.6,94.4,2.2,0.2,2.6,6.9
FL,Kathleen CDP,44049,20.6,80.6,90.5,2.1,0.5,0.6,12.1
FL,Kendale Lakes CDP,48818,13.8,84.2,92.1,2.2,0.1,1.4,86.5
FL,Kendall CDP,61554,9.2,90.2,87.9,4.4,0.1,3,63.7
FL,Kendall West CDP,46928,16,79.9,89.8,3.2,0.2,1.2,88.3
FL,Kenneth City town,36403,14.3,86,80.9,6.3,0.2,6.4,12.3
FL,Kensington Park CDP,43158,14.1,84.5,82.6,7.1,0.5,1.7,26.4
FL,Kenwood Estates CDP,40625,42,60.9,62.2,10.8,1,3.7,62.3
FL,Key Biscayne village,121434,6.6,98,96.2,0.4,0.1,1.1,61.6
FL,Key Colony Beach city,62390,4.9,95.4,98.6,0.5,0.3,0.1,4
FL,Key Largo CDP,56805,14.6,87.1,93,2.3,0.5,0.8,23.7
FL,Keystone CDP,113741,2.5,97,86.6,3.9,0.2,5.6,10.9
FL,Keystone Heights city,59702,4.8,93.2,95.4,0.4,0.7,1,3
FL,Key Vista CDP,71140,2.7,97.3,89.2,1.4,0.3,6,6.3
FL,Key West city,57042,12.9,90.2,83.8,9.7,0.4,1.6,21.2
FL,Kissimmee city,37487,25.6,82.4,66.1,12.4,0.6,3.4,58.9
FL,LaBelle city,40268,26.1,66.7,68.3,8.1,0.4,0.6,47
FL,Lacoochee CDP,23686,44.9,61.8,67.9,19.4,1.1,0.1,39
FL,La Crosse town,41806,24.1,87.9,77.8,18.1,0.3,0.6,16.4
FL,Lady Lake town,39185,14.2,89,90.8,5.1,0.4,1.1,4.3
FL,Laguna Beach CDP,45978,11.7,87.2,91.8,1.1,1.2,0.8,5.8
FL,Lake Alfred city,36045,34.2,93.3,71.3,17.5,0.4,1.7,16
FL,Lake Belvedere Estates CDP,61607,18.6,83.1,44.9,38.6,0.4,4.7,29.3
FL,Lake Buena Vista city,46250,0,100,100,0,0,0,0
FL,Lake Butler CDP,106407,4.9,95.4,79.9,6.6,0.2,9.4,11.2
FL,Lake Butler city,27763,31.8,85.2,70,26.7,0.4,0.4,4.3
FL,Lake City city,33866,27.4,87.9,56.6,37.3,0.4,1.6,5.4
FL,Lake Clarke Shores town,67052,8.2,95.9,90.1,2.7,0.1,1.5,24.7
FL,Lake Hamilton town,44000,17.1,87.5,63.4,24.9,0.5,0.8,13.4
FL,Lake Harbor CDP,-,-,-,73.3,17.8,0,0,20
FL,Lake Hart CDP,53628,0,100,94.5,0.7,0.2,3.1,8.1
FL,Lake Helen city,38942,11.8,85.4,87.1,9.1,0.5,0.3,4.3
FL,Lake Kathryn CDP,31250,23.7,72.9,96.2,0,1,0.4,5.2
FL,Lakeland city,39706,19.2,87.4,70.8,20.9,0.3,1.8,12.6
FL,Lakeland Highlands CDP,82175,3.8,94.4,91.6,3.4,0.2,2.1,7.9
FL,Lake Lindsey CDP,36146,0,100,97.2,0,2.8,0,7
FL,Lake Lorraine CDP,52686,13.2,93.9,78.8,9,0.5,3.8,7.9
FL,Lake Mack-Forest Hills CDP,(X),12.7,74.8,95,0.6,0.5,0.2,4.8
FL,Lake Magdalene CDP,50157,14,90.5,82.8,7.7,0.3,2.8,21.1
FL,Lake Mary city,85100,6.4,93.3,84.5,5,0.3,6,10.2
FL,Lake Mary Jane CDP,75750,3.5,97.6,93,2.3,0.6,1.5,10.7
FL,Lake Mystic CDP,59844,9.7,96.6,91.4,3.8,3.8,0,2.6
