geographic_area,city,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
MN,St. Peter city,55280,24.4,90.6,90.1,3.3,0.6,1.6,6.4
MN,St. Rosa city,88125,0,79.6,100,0,0,0,0
MN,St. Stephen city,75583,1.8,95.7,99.1,0,0.1,0,0.7
MN,St. Vincent city,39375,14.3,90.6,98.4,0,1.6,0,6.3
MN,Sanborn city,39688,10.7,84.9,99.4,0,0,0,3.2
MN,Sandstone city,40673,18.8,92.3,71.5,15.5,5.7,0.6,11
MN,Sargeant city,56875,23.3,90.7,96.7,0,0,1.6,0
MN,Sartell city,73872,3.7,94.9,95.5,0.9,0.2,1.5,1.4
MN,Sauk Centre city,50476,12.5,89.2,95.6,0.8,0.1,0.3,4.4
MN,Sauk Rapids city,48410,21.5,91.7,94.9,1.2,0.5,1.2,1.8
MN,Savage city,94620,5.3,95.7,82.6,4.3,0.4,8.4,3.4
MN,Scandia city,84130,8.6,97.4,97.2,0.1,0.4,1,1.3
MN,Scanlon city,53523,10.7,93.1,92.1,0.4,3.3,1.1,1.3
MN,Seaforth city,47083,4.5,95.5,100,0,0,0,2.3
MN,Searles CDP,66250,16.8,90.1,100,0,0,0,0
MN,Sebeka city,35893,18,92.6,97.9,0.4,0.1,0,0.8
MN,Sedan city,32250,16.7,100,100,0,0,0,0
MN,Shafer city,53125,9,92.4,96.4,0.5,0.3,0.2,2
MN,Shakopee city,78731,6.6,92.7,77,4.3,1.2,10.3,7.8
MN,Shelly city,27639,19.7,90.6,94.2,0,3.1,0.5,8.9
MN,Sherburn city,46086,11.4,91.9,98.7,0,0,0.3,0.7
MN,Shevlin city,47917,13.9,95.2,89.8,0,2.3,0,2.8
MN,Shoreview city,79252,5.3,96.3,87.4,2.2,0.4,7.2,2.2
MN,Shorewood city,110469,3,98.6,95.8,0.8,0.3,1.4,1.7
MN,Silver Bay city,41439,11.2,93.8,97.9,0.2,0.3,0.3,0.9
MN,Silver Creek CDP,55227,8.6,83.8,99.6,0,0.4,0,0.8
MN,Silver Lake city,50592,13.5,95.2,99.4,0,0,0.2,1.4
MN,Skyline city,77917,1.2,96.2,98.6,0,0,0.3,3.1
MN,Slayton city,43472,14.1,85.1,98,0.3,0.1,0.2,1.2
MN,Sleepy Eye city,45500,11.1,86,94.3,0,0.1,0.9,13
MN,Sobieski city,59688,4.3,86.2,100,0,0,0,0
MN,Solway city,43125,5.2,73.1,96.9,0,0,0,0
MN,Soudan CDP,51071,13.6,97.6,96.2,1.6,0.9,0.9,0.4
MN,South End CDP,13750,61.9,45.5,4,0,96,0,0
MN,South Haven city,39375,31.5,92.2,93.6,0.5,1.1,0.5,4.8
MN,South St. Paul city,55607,13.2,91,85.3,3.9,0.8,1.2,12.2
MN,Spicer city,54954,6.6,94.3,98.2,0.1,0.4,0.2,4.1
MN,Springfield city,43679,8.8,84.9,97.8,0.2,0.2,0.4,4.6
MN,Spring Grove city,34946,12.9,84.7,97.8,0.7,0.1,0.6,1
MN,Spring Hill city,36250,6.3,73.8,100,0,0,0,0
MN,Spring Lake Park city,51719,11.7,90.4,83.7,3.8,0.9,5.1,5.9
MN,Spring Park city,47235,9,93.1,94.1,2,0.1,2.6,1.4
MN,Spring Valley city,44939,11.9,90.3,97.6,0.6,0.1,0.5,0.7
