,threat_level
1337,attack
1338,other
1339,attack
1341,undetermined
1342,attack
1343,other
1345,attack
1346,undetermined
1347,other
1348,attack
1349,other
1350,attack
1351,attack
1352,undetermined
1353,undetermined
1354,attack
1355,attack
1356,attack
1357,other
1358,other
1359,undetermined
1360,undetermined
1361,attack
1362,attack
1364,attack
1365,attack
1366,attack
1367,other
1370,attack
1371,attack
1372,attack
1373,attack
1374,attack
1375,attack
1376,attack
1377,other
1378,undetermined
1379,attack
1380,attack
1381,attack
1382,attack
1383,attack
1384,attack
1388,attack
1390,other
1391,attack
1393,attack
1394,attack
1395,other
1397,attack
1398,undetermined
1399,attack
1400,attack
1401,undetermined
1402,other
1403,undetermined
1404,attack
1406,attack
1407,attack
1408,attack
1409,attack
1411,attack
1412,other
1413,other
1414,undetermined
1415,attack
1416,attack
1418,attack
1419,attack
1420,attack
1421,other
1422,attack
1423,attack
1424,attack
1425,attack
1426,attack
1427,attack
1428,other
1429,other
1430,attack
1432,attack
1433,attack
1434,other
1435,attack
1436,attack
1437,attack
1438,attack
1439,attack
1440,attack
1441,attack
1442,attack
1443,attack
1444,attack
1445,attack
1446,other
1447,attack
1448,attack
1449,attack
1450,other
1451,attack
1452,other
1453,attack
1454,attack
1455,attack
1456,other
1457,attack
1458,attack
1459,attack
1460,attack
1461,other
1462,other
1463,other
1464,undetermined
1465,other
1466,other
1467,attack
1468,attack
1469,attack
1470,attack
1471,undetermined
1472,other
1473,attack
1474,attack
1475,attack
1476,other
1477,attack
1478,attack
1479,attack
1480,attack
1481,attack
1482,undetermined
1483,attack
1484,attack
1485,attack
1486,other
1487,attack
1489,other
1490,attack
1492,attack
1494,other
1495,attack
1496,attack
1498,attack
1499,attack
1500,attack
1501,attack
1502,attack
1503,attack
1504,attack
1505,attack
1506,attack
1507,attack
1508,other
1509,other
1510,attack
1511,undetermined
1512,attack
1513,other
1514,attack
1515,undetermined
1516,attack
1517,other
1518,undetermined
1519,other
1520,other
1522,attack
1523,attack
1524,attack
1525,attack
1526,attack
1527,attack
1528,attack
1529,attack
1530,other
1531,attack
1532,other
1533,attack
1534,attack
1535,attack
1536,other
1537,other
1538,attack
1539,attack
1540,attack
1542,attack
1543,other
1544,attack
1545,attack
1547,other
1548,other
1549,attack
1550,other
1551,attack
1552,other
1554,attack
1555,other
1556,attack
1557,attack
1559,other
1560,attack
1561,other
1562,attack
1563,other
1564,other
1565,other
1566,attack
1567,attack
1570,attack
1571,attack
1572,other
1573,attack
1574,attack
1576,other
1577,attack
1578,attack
1579,attack
1581,attack
1582,attack
1583,other
1584,undetermined
1585,attack
1587,attack
1588,attack
1589,attack
1590,attack
1591,attack
1592,attack
1594,attack
1595,other
1597,attack
1598,attack
1599,attack
1600,attack
1602,attack
1603,attack
1604,attack
1605,attack
1607,other
1610,attack
1611,attack
1612,attack
1614,attack
1615,other
1616,attack
1617,other
1618,attack
1619,other
1620,attack
1621,attack
1622,other
1623,attack
1624,other
1625,other
1626,attack
1627,attack
1628,attack
1631,attack
1632,other
1633,attack
1634,attack
1635,attack
1636,other
1637,attack
1638,other
1639,other
1640,attack
1641,attack
1642,other
1643,undetermined
1644,attack
1646,attack
1647,attack
1648,attack
1649,other
1650,attack
1651,other
1652,attack
1654,attack
1655,attack
1656,other
1657,attack
1658,other
1659,other
1660,other
1661,undetermined
1662,other
1664,attack
1665,attack
1666,attack
1668,other
1669,attack
