,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,Level
211,34550,25,85.3,75.2,2.5,2.2,0.8,49.8,1
212,34579,25.8,81.7,38.3,57.3,0.4,1.8,1.8,0
213,34627,21.2,85.9,92.2,0.3,2.6,0.7,4.7,0
214,34695,25.9,77.4,80.9,16.7,0.6,0.3,0.9,0
215,34708,33.9,62,85.1,0.6,0.5,0.5,93,0
216,34742,27.4,56.6,60,0.3,0.5,1.3,96.8,0
217,34743,22.2,86.7,89.7,3.5,0.6,0.5,8.5,0
218,34770,16.4,82.7,76.4,15.9,0.4,0.6,8,0
219,34833,25.3,82.9,88.9,1.5,0.6,1.3,10.3,0
220,34844,20.1,84.8,97.1,0.7,0.3,0.2,0.9,0
221,34846,22.8,72.8,55.3,40.9,0.2,0.5,2.9,0
222,34894,25.4,84.5,55.9,16.1,15.3,0.9,7.1,0
223,34898,25.8,79.3,95.8,0.3,0.9,0.2,3.2,0
224,34911,22,86.8,70.8,12.5,4.4,0.3,4.9,0
225,34944,21.8,86.1,72.3,21.2,0.3,2.4,1.5,0
226,34972,23.4,85.6,73.7,23,0.3,0.5,0.9,0
227,35000,31.6,80.9,62.2,34.1,0.5,0.2,0.9,0
228,35125,20.2,78.6,85.5,3.4,0,0,11,0
229,35126,27.2,82.3,45.6,49.3,0.2,1.8,3.4,0
230,35163,27.8,73,87.3,1.6,0.5,0.6,17.5,0
231,35313,29,76.3,55.2,16.3,0.7,3,39.3,0
232,35371,26.7,77.6,66.1,15.4,0.6,0.9,22.5,0
233,35441,21.9,76.1,72.3,15.8,0,0.1,11.9,0
234,35455,23.9,85.4,91.9,4.7,0.3,0.7,1.9,0
235,35542,31.1,74.5,77.2,0.6,0.4,0.2,28.4,0
236,35563,29.6,87.6,61.2,23.7,0.8,3.7,12.5,0
237,35582,30.1,41.2,52,0.6,0.8,0.3,97.4,0
238,35599,27.1,84.1,43.9,49.2,0.3,2.9,3.5,2
239,35604,28.1,84.8,75.8,13.9,0.3,4.2,6.5,0
240,35609,23.3,84.3,65.3,29,0.3,0.9,4.5,0
241,35619,35.1,93,83.1,9.6,0.2,3.7,2.2,0
242,35671,24,85.5,89.5,1.2,1.1,0.8,14.4,0
243,35674,26.2,91.4,93.1,1.7,1.2,1.7,1.5,0
244,35737,13.9,93.4,97.5,0.1,0.4,0.3,1.4,0
245,35738,15.5,88.2,90.9,2.5,0.5,0.6,7.1,1
246,35750,15.4,82.7,96.5,0.1,0.7,0.2,3,0
247,35785,21,87.5,82,12.6,0.3,1,2.6,0
248,35823,20.1,84,81.5,13,0.3,0.9,4.3,0
249,35825,24.4,85.6,82.3,12.4,0.2,0.8,3.7,0
250,35833,30.7,74.1,69.1,5.3,3.6,1.5,44.8,0
251,35833,19.9,82.5,77,0.3,14.5,0,3.6,0
252,35875,23.9,88.7,96.8,0.8,0.2,0.9,1.1,0
253,35924,22.6,86.1,70.7,20.9,0.3,2.6,11.7,0
254,35933,30.3,55,36.4,7.9,0.9,12.7,71.5,0
255,35938,18.4,80.3,85.7,8.3,0.5,0.1,5.7,0
256,35948,19.7,82.7,81.9,1.3,1.1,1.4,23.7,0
257,35950,27.1,80.5,93.4,0.5,1.3,0.6,12.9,0
258,35958,28.7,82.1,44.8,40,0.8,3.5,17.3,2
259,36026,36.1,85.4,93.2,3.2,0.2,1.3,1.9,0
260,36032,26.5,88.8,83.9,1,1,3.3,13.9,0
261,36050,29.5,80.9,93.8,3.2,0.1,0.8,2,0
262,36086,24.9,88.1,88.9,7.5,0.2,0.6,1.4,0
263,36208,32,61.5,32.6,35.5,1.4,0.6,43.6,0
264,36209,13.3,95.5,96.6,0.2,0.6,0.2,4.8,0
265,36250,24.4,90.3,68.5,26.6,0.2,0.5,1.9,0
266,36266,20.2,80.6,84.2,1,1.6,0.9,11.3,0
267,36296,28.9,77.8,65,27.5,0.5,0.8,15.6,0
268,36300,28.8,92.5,88.9,2.8,0.4,4.9,2.9,0
269,36338,19,92.2,91.5,0.5,3.8,0.4,3.4,0
270,36348,23.8,81.7,62.1,23.3,0.5,0.9,21.9,0
271,36365,8.4,91,96.5,1.4,0.2,0.7,2.8,0
272,36403,25.7,72.2,44.5,39.4,0.8,0.3,35.3,0
273,36440,19.9,84.9,83.6,0.8,1.8,0.9,22.8,1
274,41875,9.6,84.6,0.4,0,99.6,0,0,1
275,36445,27.6,83.7,29.4,63.3,0.2,1.6,6.5,1
276,36458,23.8,82.2,86.7,9.4,0,2.2,1.6,0
277,36466,26.5,86,38.3,55.4,0.3,2,4.7,0
278,36474,25.5,84.5,56.9,36.1,0.4,1.7,5.2,0
279,36500,31.5,80.2,9.9,0.6,86,0,1.8,0
280,36514,23.7,85.7,72.3,13.9,0.7,1.5,13.7,0
281,36528,16.8,80.9,88.3,7.1,1.4,0.2,2.1,0
282,36538,21,89.2,94.5,0.6,2.4,0.9,1.3,0
283,36652,12.7,87.6,74.2,22.2,1.3,0.2,2.8,0
284,36667,31.1,81.2,96,0.6,1.1,0.8,1.6,0
285,36678,25.1,77.8,46.8,47.4,0.2,0.7,5.5,0
286,36698,21,84.8,48.7,46.6,0.3,0.7,4,1
287,36701,23.3,82.4,52.4,37.7,0.4,1.6,10.6,0
288,36729,20.9,86.6,16.8,75.2,0.4,3.3,5.3,0
289,36750,25.4,86.6,66.2,0.2,21.2,0.1,2,0
290,36770,23.4,84.1,97.3,0.4,0.3,0.3,1.2,0
291,36792,27,85.2,33,60.2,0.3,2.9,5.2,2
292,36860,28.6,58.6,52,0.7,0.9,2.1,84.4,0
293,36880,22.7,77.1,55.4,34.3,0.5,2.7,13.8,0
294,36930,26.5,77.3,58.5,12.5,0.8,2.2,42.8,0
295,36964,21.4,91.5,47.2,36.3,1.1,3,15.4,0
296,37045,19.4,84,84.1,8.8,0.4,0.8,6,0
297,37047,33.4,68.2,45.6,15,1.3,4,60,2
298,37049,27.9,84.7,16.1,74.6,0.4,0.8,11.5,0
299,37072,28.6,80.1,78.9,0.8,3.7,1.1,19.2,0
300,37094,24.5,86.5,79.3,1.9,3.7,4.2,11.6,0
301,37109,22.8,82.9,81.1,11.5,0.2,0.4,6.7,0
302,37137,14,85.8,96.9,0.2,0.5,0.1,1.7,0
303,37149,25.3,84.2,69.7,5,2.7,2.9,41.6,2
304,37190,21.2,87.2,71.6,22,0.5,1.6,5.1,0
305,37246,19.6,82.4,89.1,7.8,0.3,0.2,2.5,0
306,37250,14.9,82.3,61.8,32,0.6,0.5,3.9,0
307,37269,27.7,47.4,53.8,0.9,0.9,0.7,93.1,0
